,state,zip,latitude,longitude
0,CA,91352,34.2483191527193,-118.3879713743439
1,CA,90024,34.052542,-118.448504
2,CA,91770,34.050745,-118.081014
3,CA,90015,34.040539,-118.271387
4,CA,90012,34.059133,-118.248589
5,CA,90803,33.759802,-118.096665
6,CA,95814,38.576769,-121.495022
7,CA,90744,33.770508,-118.265628
8,CA,91342,34.30309,-118.480505
9,CA,90012,34.066801,-118.227605
10,CA,90016,34.036777,-118.368841
11,CA,91731,34.06872,-118.064
12,CA,90013,34.039736,-118.236065
13,CA,92037,32.89947,-117.243
14,CA,92027,33.098589,-117.004433
15,CA,91343,34.221665,-118.468371
16,CA,92503,33.909914,-117.459053
17,CA,91103,34.14762,-118.147111
18,CA,91105,34.145138,-118.152655
19,CA,91105,34.145119,-118.150133
20,CA,91101,34.142973,-118.140553
21,CA,91030,34.118433,-118.149597
22,CA,90802,33.7637,-118.192
23,CA,90045,33.94325,-118.403342
24,CA,91324,34.241116,-118.556708
25,CA,91764,34.07122,-117.575
26,CA,93030,34.228315,-119.170865
27,CA,92262,33.824004,-116.543589
28,CA,94588,37.700187,-121.876172
29,CA,92509,34.0189,-117.38
30,CA,95837,38.69005,-121.58889
31,CA,90405,34.017081,-118.44704
32,CA,90405,34.010021,-118.49583
33,CA,91423,34.156839,-118.434454
34,CA,92590,33.49605,-117.152
35,CA,91608,34.138717,-118.35904
36,CA,91405,34.21108,-118.448704
37,CA,90241,33.94756,-118.153806
38,CA,94133,37.80619,-122.4152
39,CA,95815,38.599693,-121.427045
40,CA,94115,37.784912,-122.430237
41,CA,94104,37.792058,-122.404312
42,CA,94105,37.78881,-122.401
43,CA,94108,37.791791,-122.411265
44,CA,90048,34.076264,-118.377527
45,CA,90012,34.057657,-118.24789
46,CA,91436,34.169242,-118.497212
47,CA,91330,34.248959,-118.523887
48,CA,91330,34.241687,-118.528543
49,CA,91330,34.236853,-118.532588
50,CA,91324,34.229277,-118.544827
51,CA,90731,33.740758,-118.28192
52,CA,91342,34.2924134,-118.4497914
53,CA,90049,34.077588,-118.474585
54,CA,91007,34.145528,-118.050548
55,CA,91741,34.13556,-117.864
56,CA,90230,33.9826,-118.3966
57,CA,90034,34.029971,-118.385231
58,CA,92705,33.777054,-117.870566
59,CA,93012,34.16657601660278,-119.0458546627045
60,CA,92821,33.919899,-117.898618
61,CA,91320,34.192178,-118.934793
62,CA,93022,34.418322,-119.3368
63,CA,91773,34.105275,-117.809208
64,CA,91101,34.147709,-118.136621
65,CA,91770,34.05334473,-118.0841599
66,CA,93009,34.267352,-119.2124
67,CA,93003,34.268756,-119.2154
68,CA,93003,34.268,-119.2492
69,CA,90293,33.917593,-118.425334
70,CA,91706,34.089085,-117.95463
71,CA,90242,33.92364287667621,-118.1678308134918
72,CA,90280,33.930663,-118.175758
73,CA,95616,38.539336,-121.732405
74,CA,93401,35.25939,-120.64492
75,CA,95061,36.973393,-122.024849
76,CA,90744,33.773005,-118.265821
77,CA,95628,38.66292,-121.2634
78,CA,95816,38.57277,-121.467902
79,CA,95843,38.7042,-121.365
80,CA,95833,38.615468,-121.517263
81,CA,95817,38.552483,-121.4487
82,CA,95822,38.524403,-121.5112
83,CA,95667,38.73323,-120.78962
